Title,Description,Creator,Donor,Date,Date is Approximate?,Keywords,Coverage,Latitude,Longitude,Relation,Publisher,Source,Identifier,Rights,Rights (Standardized),Format Original,Type,Format Digital,Language,Filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Iva, George, and Della","Iva (Burdon) Homerson, George Whitney, and Della (Wood) Dial standing together. Photograph taken about 1911.",,,1911,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-24b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/68,68,106.jp2,/phs/image/106.jp2
Potlatch Headquarters,"View of PLC headquarters, located in Bovill, Idaho. Log cabins and log piles can be seen scattered around the camp. A railroad runs through the camp.",,,1910,yes,corporate headquarters; railroads; logs,United States--Idaho--Latah County--Bovill,46.860649,-116.394463,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_33,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/69,69,1060.jp2,/phs/image/1060.jp2
Bovill School,"View of the first school in Bovill, Idaho. A woman can be seen standing outside of the school.",,,1908,yes,schools,United States--Idaho--Latah County--Bovill,46.859339,-116.393784,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_34a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/70,70,1061.jp2,/phs/image/1061.jp2
Summer Visitors,Group of Weyerhaeuser annual summer visitors standing in the Bovill woods.,,,1910,yes,woods; visitors,United States--Idaho--Latah County--Bovill,46.86068,-116.388806,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_34b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/71,71,1062.jp2,/phs/image/1062.jp2
PLC Camp,A group of people standing on a few logs at a PLC camp. In the distance a train can be seen approaching on the railroad tracks.,,,1910,yes,railroads,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_35a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/72,72,1063.jp2,/phs/image/1063.jp2
PLC Camp,A group of people standing on the railroads in a PLC camp. A few of the people can be seen sitting on logs.,,,1910,yes,railroads,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_35b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/73,73,1064.jp2,/phs/image/1064.jp2
Skidding Logs,"Horses pulling logs on a dolly. One man is standing on top of the logs and another man, identified as Axel Anderson is standing next to the horses.",,,1932,yes,horses; logs,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_36,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/74,74,1065.jp2,/phs/image/1065.jp2
Skidding Logs,Four horses pulling logs in the snow. One man is sitting on top of the logs and another man is standing next to the stack of logs.,,,1930,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_37a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/75,75,1066.jp2,/phs/image/1066.jp2
Skidding Logs,Horses pulling logs in the snow. Four men are standing and sitting on top of the logs and another man is standing next to the stack of logs.,,,1930,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_37b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/76,76,1067.jp2,/phs/image/1067.jp2
Roller Skidding,Horses pulling logs that are on wheels. A man can be seen standing on top of the stack of logs guiding the horses.,,,1930,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_38a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/77,77,1068.jp2,/phs/image/1068.jp2
Skidding Logs,Horses pulling logs on a dolly.,,,1930,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_38b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/78,78,1069.jp2,/phs/image/1069.jp2
Bill Decker,"Bill Decker, a travelling photographer in the Deep Creek area, posing for a photograph.  Photograph taken in 1908",,,1908,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-25,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/79,79,107.jp2,/phs/image/107.jp2
Hauling Logs,Horses hauling logs on a dolly to the rollways. A man can be seen standing on top of the stack of logs.,,,1930,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_39a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/80,80,1070.jp2,/phs/image/1070.jp2
Winter Scene,"Four horses pulling logs in the snow, near Bovill, Idaho. A man can be seen standing on top of the stack of logs.",,,1932,yes,horses; logs,United States--Idaho--Latah County--Bovill,46.854883,-116.400089,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_40,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/81,81,1071.jp2,/phs/image/1071.jp2
Camp 14,"Horses hauling logs at Camp 14, which is located west of Bovill, Idaho. A few men can be seen standing on top of stacks of logs.",,,1932,yes,lumber camps; horses; logs,United States--Idaho--Latah County--Bovill,46.854883,-116.400089,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_39b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/82,82,1072.jp2,/phs/image/1072.jp2
Skidding Teams,Photo of the skidding teams at Camp 2. Men can be seen standing throughout a group of horses.,,,1932,yes,lumber camps; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_41a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/83,83,1073.jp2,/phs/image/1073.jp2
Marion Loader,View of the steam powered Marion loader. The machine can be seen lifting a log off of a stack.,,,1930,yes,equipment; logs,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_41b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/84,84,1074.jp2,/phs/image/1074.jp2
Winter Logging,"Two horses pulling logs in the snow, near Bovill, Idaho. A man can be seen standing on top of the stack of logs.",,,1930,yes,horses; logs,United States--Idaho--Latah County--Bovill,46.854883,-116.400089,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_42b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/85,85,1075.jp2,/phs/image/1075.jp2
Skidding Team,A man standing with two horses outside a log cabin at a PLC camp.,,,1925,yes,lumber camps; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_43a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/86,86,1076.jp2,/phs/image/1076.jp2
Skidding Team,A group of men and a few horses standing around a stack of wood sitting on a railroad track.,,,1930,yes,railroads; horses; logs,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_42a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/87,87,1077.jp2,/phs/image/1077.jp2
Camp 3A,"A man and two horses at the old Camp 3A, which is located 3 miles west of Bovill, Idaho.",,,1925,yes,lumber camps; horses,United States--Idaho--Latah County--Bovill,46.855868,-116.462343,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_43b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/88,88,1078.jp2,/phs/image/1078.jp2
Winter Logging,Horses pulling logs in the snow at Camp 11.,,,1925,yes,logging; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_44a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/89,89,1079.jp2,/phs/image/1079.jp2
Waddell Place,Andy Smith's family at the Waddell Place.  Photograph taken around 1907.,,,1907,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-26a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/90,90,108.jp2,/phs/image/108.jp2
Skidding Team,Two men standing with two horses in a forest.,,,1925,yes,logging; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_44b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/91,91,1080.jp2,/phs/image/1080.jp2
PLC Camp 3,"View of PLC camp 3. A log cabin can be seen with ""Camp 3"" written on its roof. In the background there is a forest of trees with many logs lying at the tree's bases.",,,1923,yes,lumber camps; log cabins,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_45b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/92,92,1081.jp2,/phs/image/1081.jp2
Horse Logging,Horses pulling logs on a roller. A few men can be seen standing next to the stack of logs.,,,1925,yes,logging; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_46a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/93,93,1082.jp2,/phs/image/1082.jp2
Logging with Horses,"A group of men standing and sitting around four horses, who are equipped to haul logs.",,,1925,yes,logging; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_46b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/94,94,1083.jp2,/phs/image/1083.jp2
Logging with Horses,Two men logging while horses stand next to a stack of logs.,,,1923,yes,logging; horses,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_45a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/95,95,1084.jp2,/phs/image/1084.jp2
Laying Track,A group of men laying down railroad track at the park line south of Helmer. A railroad car can also be seen on the track.,,,1910,yes,railroads; railroad cars,"United States--Idaho--Latah County--Helmer, ID",46.797864,-116.469935,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_47,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/96,96,1085.jp2,/phs/image/1085.jp2
Load of Logs,"A load of logs from Camp 3 that is 20,000 feet total. The load is being hauled by only two horses. Two men can be seen sitting on top of the stack of logs and many men and a dog are standing next to the stack.",,,1907,yes,horses; logs,United States--Idaho--Latah County,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_48,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/97,97,1086.jp2,/phs/image/1086.jp2
Winter Logging,"Horses pulling a load of logs in the snow near Bovill, Idaho. A few men can be seen standing on top of and next to the stack of logs. The logs were later reloaded onto rail cars when they were sent to Potlatch.",,,1905,yes,logging; horses,United States--Idaho--Latah County--Bovill,46.854883,-116.400089,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_49a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/98,98,1087.jp2,/phs/image/1087.jp2
Logging with Horses,"Men standing with a group of horses at Camp 14, which was located near Bovill, Idaho. Horses played an important role in early logging and a team could haul 3500 pounds or more.",,,1905,yes,logging; horses,United States--Idaho--Latah County--Bovill,46.860809,-116.394388,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_49b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/99,99,1088.jp2,/phs/image/1088.jp2
PLC Camp,"A group of people and horses standing in front of a building that has a sign over its door saying ""Veterinarian, Surgeon, and Dentist"".",,,1925,yes,camps; buildings; medicine,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_50b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/100,100,1089.jp2,/phs/image/1089.jp2
Mr. & Mrs. Sam Clark,Mr. and Mrs. Sam Clark posing for a photograph on the front porch of a house.  The photograph was taken in 1911.,,,1911,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-26b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/101,101,109.jp2,/phs/image/109.jp2
Veterinary,"George ""Doc"" Palmer, a PLC veterinary, standing with a dog and a horse.",,,1925,yes,veterinary medicine; horses,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_50a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/102,102,1090.jp2,/phs/image/1090.jp2
Steam Powered Shovel,View of a steam powered shovel at work building a logging railroad spur. A few men can be seen standing on and next to the equipment.,,,1925,yes,equipment; shovels,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_51a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/103,103,1091.jp2,/phs/image/1091.jp2
Steam Donkey,"View of a steam donkey on the hillside just northeast of Bovill, Idaho.",,,1925,yes,equipment,United States--Idaho--Latah County--Bovill,46.864501,-116.38752,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_51b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/104,104,1092.jp2,/phs/image/1092.jp2
Shay Engine,"View of the ""Old 100"", which was a Lima built 2-truck 45T Shay. It was built in 1906 to be used around Bovill for logging. A few logs can be seen in the back of the engine and two men can be seen leaning out the window of the engine.",,,1925,yes,steam locomotives; logging,United States--Idaho--Latah County--Bovill,46.860809,-116.394388,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_52,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/105,105,1093.jp2,/phs/image/1093.jp2
