title,creator,date,description,coverage,subject,latitude,longitude,type,format,donor,collection,cdm-number,cdm-alias,portal-id
Mill office,,1950,"The main office building for the Rutledge mill in Coeur d'Alene, Idaho",United States--Idaho--Kootenai--Coeur d'Alene,buildings (structures),47.670775,-116.759218,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,903,plcphotos,plcphotos-903
Rutledge Mill [01],,1950,"The Rutledge mill in Coeur d'Alene, Idaho.",United States--Idaho--Kootenai--Coeur d'Alene,buildings (structures); sawmills,47.666864,-116.75191,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,904,plcphotos,plcphotos-904
Logging men,,1920,"A group of loggers (and a dog) stand in front of building  in an unknown logging camp near Bovill, Idaho. Behind the men and buildings are un-harvested trees, while in the lower right hand section of the photograph are harvested logs",United States--Idaho--Latah County,logging; lumber camps; Group portraits,46.863797,-116.3843,Image;StillImage,image/jpeg,Anderson Studio,Potlatch Lumber Co. Photos,905,plcphotos,plcphotos-905
Ponderosa Pine,,1929,A ponderosa pine stands in a section to be logged and then slash burned,United States--Idaho--Latah County--Saint Joe National Forest,pine; Pinus ponderosa,46.938751,-116.649767,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,906,plcphotos,plcphotos-906
Idaho White Pine strand,,1930,A group of white pine stand in the back while the ground in front is littered with stumps and downed trees. The description on the back says this was logged in the spring of 1930 but not burned.,United States--Idaho--Clearwater County,pine; white pine (wood),46.857002,-115.74597,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,907,plcphotos,plcphotos-907
Camp kitchen [01],,1900,"Men stand in an early logging camp kitchen. On the left is the stove, in the middle a island table, and to the right is another cooking area. Overhead is a lamplight.",United States--Idaho--Latah County,lumber camps,46.863797,-116.3843,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,908,plcphotos,plcphotos-908
Brush piles [02],,1924,Two men work to make brush piles for a brush disposal. According to the back of the photograph this picture was taken by K.D. Swan for the Skookum Cr. Sale.,United States--Idaho--Kootenai County--Coeur d'Alene National Forest,brush disposal; logging,47.730134,-116.4683,Image;StillImage,image/jpeg,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Potlatch Lumber Co. Photos,909,plcphotos,plcphotos-909
After slash and burn,,1926,"The aftermath of slash and burning logging. The description on the back says 'area logged 1925, broadcast burned spring 1926 too dry at time. Very heavy slash and dense pole stand left. About 09 per cent destruction.'",United States--Idaho--Clearwater County--Clearwater National Forest,logging; brush,46.825839,115.525353,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,910,plcphotos,plcphotos-910
After slash and burn,,1926,Two men stand on railroad tracks while in back of them is the effects of slash and burn logging. On the back of the photograph it reads 'burned spring 1926. 15 per cent of trees fire killed. Cost 75 c per M to pile and burn.',United States--Idaho--Clearwater County--Clearwater National Forest,logging; brush,46.757292,-115.517127,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,911,plcphotos,plcphotos-911
Construction template work,,1950-09-20,A man works on a piece of part of a building using a construction template. Two other men stand in behind him.,United States--Idaho--Nez Perce County,construction sites,46.430754,-116.97086,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,912,plcphotos,plcphotos-912
Lumber being transported,,1940,Lumber boards are transported on a flatcar. The description on the back of the photograph reads '2x4 A.F consigned to Fuller Goodwin pewaukee wis.',United States--Idaho--Clearwater County--Clearwater River,flatcars; planks (wood),46.240954,-116.037617,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,913,plcphotos,plcphotos-913
Maynard Mill,,1950,"Lumber waits for transport at the Maynard Mill in Glenwood, ID",United States--Idaho--Idaho County--Glenwood,sawmills; Log (wood),46.244028,-115.832992,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,914,plcphotos,plcphotos-914
Picking up a log for transport,,1950,"On the left, a man grabs a hook to attach it to a log, while in the middle, a man walks on logs already on the truck. On the right, a man operates the crane",United States--Idaho--Clearwater County,cranes; Log (wood); logging,46.505276,-116.24114,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,915,plcphotos,plcphotos-915
Kamiah Mill [01],,1950-09-01,"Looking over the log deck and log pond to the mill in Kamiah, Idaho.",United States--Idaho--Lewis County--Kamiah,sawmills; Log (wood),46.220904,-116.031855,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,916,plcphotos,plcphotos-916
Small mill on Harris ridge,,1940,Three men work on a piece of machinery at the McMamm Mill on Harrish Ridge,United States--Idaho--Idaho County,sawmills; Log (wood),46.194388,-115.880695,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,917,plcphotos,plcphotos-917
Heavy logging,,1951,A crane tips forward trying to pick up a log. The description on the back of the photograph reads ' Heavy log in Harris Ferris timber spring of '51. Shovel operated by Arron Reed',United States--Idaho--Idaho County,cranes; Log (wood); logging,46.194388,-115.880953,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,918,plcphotos,plcphotos-918
Logging truck stuck,,1951,"A truck full of logs gets stuck in a passage. The description on the back of the photograph reads 'C K Truck could not negotiate turn in heavy mud, Ferris timber '51, this was a dodge'",United States--Idaho--Idaho County,trucks; Log (wood),46.194388,-115.880953,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,919,plcphotos,plcphotos-919
Logs in the river,,1950,Logs are in the Clearwater river on their way to the Lewiston Mill,United States--Idaho--Clearwater County,rivers; Log (wood); logging,46.444045,-116.843363,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,920,plcphotos,plcphotos-920
Stacking logs for transport,,1950,A crane stacks a log on a pile for transport,United States--Idaho--Idaho County,cranes; Log (wood); logging,46.16601,-115.965195,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,921,plcphotos,plcphotos-921
Losing a log,,1950,A log tumbles from a truck as it drives down the road,United States--Idaho--Idaho County,trucks; Log (wood),46.144562,115.961161,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,922,plcphotos,plcphotos-922
Log pond and mill,,1950,Looking over the log pond and log entrance into a mill.,United States--Idaho--Idaho County,sawmills; Log (wood),46.144562,115.961161,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,923,plcphotos,plcphotos-923
Loading Logs [10],,1950,A crane loads a log on to a truck as a man stands on top of the upper arm of the bed of the track,United States--Idaho--Clearwater County,trucks; Log (wood); cranes,46.477602,-116.235328,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,924,plcphotos,plcphotos-924
Carrying a load of logs,,1950,A truck carries a load of logs down a mountain road.,United States--Idaho--Clearwater County,trucks; Log (wood),46.501128,-116.182221,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,925,plcphotos,plcphotos-925
Showing a model,,1950,Men stand behind a model of Potlatch logging area.,United States--Idaho--Nez Perce County,models (representations); Groups of people,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,926,plcphotos,plcphotos-926
What products PFI makes,,1965,A display showing all the different paper products that Potlatch Forests makes as well as displaying information about the tours that PFI gives.,United States--Idaho--Nez Perce County,display types,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,927,plcphotos,plcphotos-927
Display of growth studies,,1965,"A display of the growth studies conducted by Dixon Nurseries in Clarkston, Washington. In the display are a number of flowers being grown with and/or without Potlatch garden-lawn food. Next to the display are bags of Potlatch lawn food.",United States--Idaho--Nez Perce County,display types,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,928,plcphotos,plcphotos-928
Display of improved fire tools,,1965,"Men, women, and children stand in front of a model displaying the 'Improved Fire Tools' of forest management. The model includes three different areas: access roads, radio communications, and aircraft. Off to the right hand side of the model some tools of forest firefighters and communication devices.",United States--Idaho--Nez Perce County,display types,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,929,plcphotos,plcphotos-929
Poster display,,1965,"A poster displaying the Industrial Relations Division of Potlatch Forests, INC.",United States--Idaho--Nez Perce County,display types,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,930,plcphotos,plcphotos-930
Research project,,1965,"A research project at the University of Idaho which was sponsored by Potlatch Forests, INC",United States--Idaho--Nez Perce County,display types,46.425426,-116.96822,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,931,plcphotos,plcphotos-931
Solid rubber tire,,1920,A solid rubber tire on a wooden wheel for a A-frame Loader,United States--Idaho--Clearwater County--Clearwater Forest,machinery,46.091408,-115.977717,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,932,plcphotos,plcphotos-932
Overlooking the river,,1945,A man stands on Stites Bridge while the river rushes below,United States--Idaho--Nez Perce Reservation--Stites,water (inorganic material); bridges (built works),46.091408,-115.977717,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,933,plcphotos,plcphotos-933
Early construction,,1910,Men stand with teams of horses in a pit. At the rim of the pit in back is an early model of a steamroller.,United States--Idaho--Nez Perce Reservation--Stites,horses; construction sites,46.091408,-115.977717,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,934,plcphotos,plcphotos-934
Clearing brush,,1945,Two men stand on a bridge watching as several other men clear trees and brush from a hillside.,United States--Idaho--Nez Perce Reservation--Stites,machinery; forestry; logging,46.091408,-115.977717,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,935,plcphotos,plcphotos-935
Getting around in winter,,1930,A man driving a caterpillar type tractor is pulling a covered sled vehicle with workers seated inside.,United States--Idaho--Clearwater County--Headquarters,sleighs; transportation,46.629912,-115.809321,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,936,plcphotos,plcphotos-936
Marking a log,,1930,"A young man sits on a log, holding a bucket and is using sometime of brush to mark a log below him. Another logger stands on the log behind him.",United States--Idaho--Clearwater County--Headquarters,Log (wood),46.629912,-115.809321,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,937,plcphotos,plcphotos-937
Mullen Tree,,1940,The description on the back of the photograph reads 'Mullan Tree in 4th of July Canyon between Wallace and Coeur d'Alene.',United States--Idaho--Kootenai County--4th of July Canyon,vegetation,47.560492,-116.438797,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,938,plcphotos,plcphotos-938
Moving a wheel,,1926-08-16,"Men stand on a train flatcar as a crane moves a large wheel off. There is another wheel on the flatcar waiting to be moved. In front of one of the men watching the wheel reads a sign 'The Filer & Stowell Co . Machinery. Milwaukee, Wis.'",United States--Idaho--Nez Perce County--Lewiston,machinery; locomotive cranes; flatcars,46.42357,-116.976551,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,939,plcphotos,plcphotos-939
Mill site before the mill,,1926-04-08,"Site of the Lewiston Paper mill. Written on the photograph it says the photo is taken from the south bank, so it is looking north across the Clearwater river. Stamped on the back of the photograph is J.F. Anderson, Photo. Phone 1445-J",United States--Idaho--Nez Perce County,landscapes (environments),46.424213,-116.98351,Image;StillImage,image/jpeg,"Anderson, J. F.",Potlatch Lumber Co. Photos,940,plcphotos,plcphotos-940
Logging town,,1940,One of the towns that formed due to the logging industry.,United States--Idaho--Nez Perce County,company towns; towns,46.425103,-116.965175,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,941,plcphotos,plcphotos-941
Early rail loader,,1930,An early rail crane loader. Note attached to photograph says it is from the Oliver Machinery Co.,United States--Idaho--Nez Perce County,machinery; locomotive cranes; flatcars,46.425103,-116.965175,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,942,plcphotos,plcphotos-942
Building the South End Dyke,,1926-10-17,Tractors pulling trailers remove dirt from the south end dyke at the Lewiston Mill.,United States--Idaho--Nez Perce County,tractors (agricultural equipment); trailers (vehicles); construction equipment; construction sites,46.425103,-116.965175,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,943,plcphotos,plcphotos-943
Lightning bolts striking down,,1930,Lightning bolts light up the sky with trees in the background. Written on the envelope 'brush disposing and burn - lightning-airplane',United States--Idaho--Clearwater County--Clearwater National Forest,lightning,46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,944,plcphotos,plcphotos-944
Felled trees and brush before burning,,1930,"Brush, felled trees, and un-used trees are shown before a controlled burn is set",United States--Idaho--Clearwater County--Clearwater National Forest,landscapes (environments),46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,945,plcphotos,plcphotos-945
Brush pile,,1930,A man stands on a pile of brush left by county road builders.,United States--Idaho--Clearwater County--Clearwater National Forest,landscapes (environments),46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,946,plcphotos,plcphotos-946
Landscape of fallen and burned trees,,1940,Burned trees litter the ground after a controlled burn on a specific area. Untouched forest stands in the background.,United States--Idaho--Clearwater County--Clearwater National Forest,landscapes (environments),46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,947,plcphotos,plcphotos-947
After burning,,1930,Brush and felled trees after burning.,United States--Idaho--Clearwater County--Clearwater National Forest,landscapes (environments),46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,948,plcphotos,plcphotos-948
Curved tree,,1940,A man stands touching a curved tree surrounded by straight growing trees. On the back of the photo is a stamp saying that the photographer is K.D. Swan.,United States--Idaho--Clearwater County--Clearwater National Forest,landscapes (environments); trees,46.593505,-115.221222,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,949,plcphotos,plcphotos-949
Men going to work,,1930,Men run to get into pickup trucks already filled with men.,United States--Idaho--Nez Perce County,pickups (trucks),46.425103,-116.965175,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,950,plcphotos,plcphotos-950
Standing in front of the office,,1940,A man stands in front of the office of probably a lumber camp. The sign above him reads 'Office brush disposal'. In front of him is a bulletin board with several notices and pieces of paper.,United States--Idaho--Nez Perce County,bulletin boards,46.425103,-116.965175,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,951,plcphotos,plcphotos-951
Elk River saw mill [17],,1913,"'""Planing mill and sheds [looking] from the southeast.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,planing mills; sheds (storage structures),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,952,plcphotos,plcphotos-952
Elk River saw mill [02],,1913,"'""Jeffrey Electric Storage Battery Locomotive and seven tram cars lumber on south track, with dry kilns at back.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,locomotives; planks (wood); lumber; dry kilns,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,953,plcphotos,plcphotos-953
Elk River saw mill [14],,1913,"'""Alley No. 8 in lumber yard from south end.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,planks (wood); lumber,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,954,plcphotos,plcphotos-954
Elk River saw mill [04],,1913,"'""Entire plant of the Elk river operations from hospital, showing from hotel to saw mill.' The building on the left-hand side of the picture is the hotel. Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; company towns; mill towns,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,955,plcphotos,plcphotos-955
Elk River saw mill [10],,1913,Part of  a 'three plate panoramic view of the plant at Elk River from hill.' View of the planked lumber  yards. Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.,United States--Idaho--Clearwater County--Elk River,planks (wood); lumber,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,956,plcphotos,plcphotos-956
Elk River saw mill [09],,1913,"Part of a 'three plate panoramic view of the plant at Elk River from hill. [This plate shows] at north west, showing all of yard, manufacturing plant, railroad.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.",United States--Idaho--Clearwater County--Elk River,planks (wood); lumber,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,957,plcphotos,plcphotos-957
Elk River saw mill [05],,1913,"'""Close view of center of lumber yard, with planing mill, dry kilns, and saw mill in background.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; planing mills; dry kilns,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,958,plcphotos,plcphotos-958
Elk River saw mill [07],,1913,"Part of a 'three plate panoramic view of the plant at Elk River from hill. [This plate shows] railroad station, office, hotel, and hospital.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.",United States--Idaho--Clearwater County--Elk River,planks (wood); lumber; sawmills; company towns; mill towns,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,959,plcphotos,plcphotos-959
Elk River saw mill [12],,1913,"'""Close view of center of lumber yard, with planing mill, dry kilns, and saw mill in background.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; planing mills; dry kilns,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,960,plcphotos,plcphotos-960
Elk River saw mill [03],,1913,"'""Interior of saw mill from log end, showing three Diamond Iron Works band mills.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; band saws,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,961,plcphotos,plcphotos-961
Elk River saw mill [15],,1913,"'""Interior of saw mill from back end, showing entire interior.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; lumber,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,962,plcphotos,plcphotos-962
Elk River saw mill [01],,1913,"'""Interior of sorting shed from outer end.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; lumber; sheds (storage structures),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,963,plcphotos,plcphotos-963
Elk River saw mill [06],,1913,"'""Line of Berlin machines in the planing mill, from north, showing Westinghouse motor at first machine.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,planing mills; woodworking machinery,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,964,plcphotos,plcphotos-964
Elk River saw mill [16],,1913,"'""Interior of planing mill from south end, showing from resaw to end of building, and cars on loading dock at right.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,sawmills; lumber; planks,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,965,plcphotos,plcphotos-965
Elk River saw mill [13],,1913,"'""Two Westinghouse-Parsons steam turbines and Dynamos and switch board. 625 K. W. 603 AMP; and 1000 KW, 963 AMP.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,steam turbines; switchboards,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,966,plcphotos,plcphotos-966
Electric Sky Line Logging [02],,1913,"'""Electric Donkey No. 2, sky line 3,000 feet, pulling cedar poles at finish of set, also showing portable transformer on car.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,wood (plant material); forestry; logging; trolley; skyline,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,967,plcphotos,plcphotos-967
Electric Sky Line Logging [01],,1913,"'""Electric logging operations, from hillside, showing landing of poles and loading of logs on cards, with Donkey No. 2, transformer car and camp cars.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,wood (plant material); forestry; logging; trolley; skyline; locomotives,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,968,plcphotos,plcphotos-968
Elk River timber [05],,1913,"Four  men stand in front to show 'Height to limbs of White Pine tree 23'6' in circumference, located on SW NW Sec. 9 T39 N, R 2E, Clearwater Co., Idaho.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.",United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,969,plcphotos,plcphotos-969
Elk River timber [07],,1913,Four men stand in front of a large White Pine that was 23'6' in circumference.,United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,970,plcphotos,plcphotos-970
Elk River timber [01],,1913,"'""Broad view of white pine timber in N. W. 1/4 N. W. 1/4 Sec. 9/39/2.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,971,plcphotos,plcphotos-971
Elk River timber [06],,1913,"'""Another view of the same clump [of white pine] to show height to limbs.' This group of White Pine is located in N. W. 1/4 N. W. 1/4 Sec. 9/39/2. Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,972,plcphotos,plcphotos-972
Elk River timber [03],,1913,"Two men stand near 'Four very large white pines close together, SE NE 8/39/2.' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.",United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,973,plcphotos,plcphotos-973
Elk River timber [02],,1913,Three men stand in amongst 'Another clump of white pine and cedar in the same location [at  SE NE 8/39/2].' Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.,United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,974,plcphotos,plcphotos-974
Elk River timber [04],,1913,"'""Broad view of same clump [at   SE NE 8/39/2], showing more trees, but first long only.' Four men stand in amongst the trees. Description taken from American Lumberman papers found within the folder. Photograph taken between September 28 and October 4.""",United States--Idaho--Clearwater County--Elk River,white pine (plants); white pine (wood),46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,975,plcphotos,plcphotos-975
End of Skyline,,1913,Image shows the end of the skyline in bringing the logs to a rail line to send them to the mills.,United States--Idaho--Latah County--Bovill,wood (plant material); forestry; logging; trolley; skyline,46.859913,-116.394468,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,976,plcphotos,plcphotos-976
Locomotive Cars,,1913,Several locomotive cards sit while six men stand in front of them. There is a sign on one of the train cars that partially reads 'Spokane Wash September 24-27 1913'.,United States--Idaho--Clearwater County--Elk River,locomotives; passenger cars (railroad cars); passenger trains,46.782435,-116.180495,Image;StillImage,image/jpeg,"Cress, John D.",Potlatch Lumber Co. Photos,977,plcphotos,plcphotos-977
Clearwater Sawmill and Lumber - Log Pond [03],,1960,Looking at the lumber pond for the Clearwater Paper Mill. Rail cars hold logs that are going to be dumped into the pond in the foreground. The sawmill is in the background.,United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,978,plcphotos,plcphotos-978
Clearwater Sawmill and Lumber - Log Pond [40],,1972-09-25,A large piece of machinery sits on a strip of land facing the log pond. In the foreground logs lie half submerged in water.,United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,979,plcphotos,plcphotos-979
Clearwater Sawmill and Lumber - Log Pond [18],,1972-09-25,The log pond. Railcars full of logs sit on the left hand side of the photograph waiting to unload while empty ones are on the right hand of the photograph. Heavy moving equipment sits near the empty railcars. A dump truck full of dirt is turning down a dirt road toward the pond and a crane.,United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds; cranes; dump trucks; railroad cars,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,980,plcphotos,plcphotos-980
Clearwater Sawmill and Lumber - Log Pond [30],,1973-07-20,A log is loaded into a 'smokeless trash burner.' Description taken from envelope holding the photographs.,United States--Idaho--Nez Perce County--Forebay,Log (wood); semitrailers,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,981,plcphotos,plcphotos-981
Clearwater Sawmill and Lumber - Log Pond [48],,1973-07-20,A man watches as a log is lowered into a 'smokeless trash burner.' Description taken from envelope holding the photographs. In the background are railcars full of logs wait.,United States--Idaho--Nez Perce County--Forebay,Log (wood); semitrailers; railroad cars,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,982,plcphotos,plcphotos-982
Clearwater Sawmill and Lumber - Log Pond [31],,1973,"A view of the log pond at the Clearwater Paper Mill. The photograph was taken either January 2, 1973 or February 2, 1973.",United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,983,plcphotos,plcphotos-983
Clearwater Sawmill and Lumber - Log Pond [36],,1973,Logs used to construct some sort of holding structure with the log pond in the background.,United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds; log construction,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,984,plcphotos,plcphotos-984
Clearwater Sawmill and Lumber - Log Pond [35],,1973,A View of the log pond at the Clearwater Paper Mill. In addition pilings are shown in and around the logs.,United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,985,plcphotos,plcphotos-985
Clearwater Sawmill and Lumber - Log Pond [26],,1972-09-25,"A dump truck carrying dirt sits on a road next to the log pond. Also in the picture, railcars sit full of logs waiting to deposit them in the pond. On a strip of land jutting into the pond, a crane's equipment works in the pond. Empty railcars are on the right-hand side of the picture.",United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds; cranes; dump trucks; railroad cars,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,986,plcphotos,plcphotos-986
Clearwater Sawmill and Lumber - Log Pond [14],,1973,"Dry logs sit next to the railroad tracks in front of the log pond. In the background, the Clearwater Paper Mill is pictured.",United States--Idaho--Nez Perce County--Forebay,Log (wood); ponds; sawmills,46.423592,-116.960134,Image;StillImage,image/jpeg,,Potlatch Lumber Co. Photos,987,plcphotos,plcphotos-987
